GEN,CPU,pop1_Generation,pop1_E,pop1_Mu,pop1_Lambda,pop1_Tau,pop1_Sigma,pop1_EvalCount,pop1_DuplicateCount,pop1_CacheCount,pop1_OpUse_replacementMutation,pop1_MAB_replacementMutation,pop1_AvgAge,pop1_AvgIndSize,pop1_Avg_f0,pop1_Best_f0,pop1_Worst_f0
0,0,0,7.30899,36,24,2,0.99,36,0,0,0,0,0,98,992.389,995,987
1,70,1,7.26329,36,24,1.9,0.99,60,0,0,24,0.781637,1,98,993.694,995,992
2,100,2,7.25083,36,24,1.81,0.99,84,0,0,24,0.751492,1.66667,98,994.306,996,993
3,130,3,7.24469,36,24,1.729,0.99,108,0,0,24,0.700521,2.5,98,994.417,996,994
4,160,4,7.23903,36,24,1.6561,0.99,132,0,0,24,0.713176,3.16667,98,994.694,996,994
5,191,5,7.23187,36,24,1.59049,0.99,156,0,0,24,0.661109,3.86111,98,994.778,996,994
6,221,6,7.19811,36,24,1.53144,0.99,180,0,0,24,0.642418,4.16667,98,994.917,996,994
7,251,7,7.1284,36,24,1.4783,0.99,204,0,0,24,0.629266,3.83333,98,995.139,996,995
8,280,8,7.12745,36,24,1.43047,0.99,228,0,0,24,0.628408,4.80556,98,995.167,996,995
9,311,9,7.12318,36,24,1.38742,0.99,252,0,0,24,0.612528,5.75,98,995.194,996,995
10,341,10,7.11753,36,24,1.34868,0.99,276,0,0,24,0.604208,6.58333,98,995.25,996,995
11,372,11,7.15551,36,24,1.31381,0.99,300,0,0,24,0.605615,5.91667,98,995.278,996,995
12,403,12,7.18175,36,24,1.28243,0.99,324,0,0,24,0.601435,5.40541,98,995.243,996,995
13,434,13,7.17829,36,24,1.25419,0.99,348,0,0,24,0.598953,6.02703,98,995.351,996,995
14,464,14,7.13855,36,24,1.22877,0.892,372,0,0,24,0.599177,5.10811,98,995.351,996,995
15,490,15,7.10494,36,24,1.21733,0.892,396,0,0,24,0.598188,5.24324,98,995.459,996,995
16,517,16,7.01505,36,24,1.1956,0.9018,420,0,0,24,0.59899,4.81081,98,995.622,996,995
17,543,17,6.89649,36,24,1.17604,0.91062,444,0,0,24,0.598282,4.27027,98,995.838,996,995
18,570,18,6.781,36,24,1.15843,0.918558,468,0,0,24,0.605805,3.86486,98,996,996,996
19,596,19,6.78611,36,24,1.14259,0.925702,491,0,1,24,0.609405,4.56757,98,996,996,996
20,623,20,6.81993,36,24,1.12833,0.932132,515,0,1,24,0.617636,5,98,996,996,996
21,650,21,6.81791,36,24,1.1155,0.937919,539,0,1,24,0.621555,5.7027,98,996,996,996
22,676,22,6.81791,36,24,1.10395,0.943127,563,0,1,24,0.625553,6.67568,98,996,996,996
23,703,23,6.79596,36,24,1.09355,0.947814,587,0,1,24,0.624776,6.56757,98,996,996,996
24,730,24,6.80205,36,24,1.0842,0.952033,611,0,1,24,0.621693,6.72973,98,996,996,996
25,758,25,6.8502,36,24,1.07578,0.95583,635,0,1,24,0.619187,6.5,98,996.028,997,996
26,786,26,6.90762,36,24,1.0682,0.959247,659,0,1,24,0.625552,5.83333,98,996.056,997,996
27,812,27,6.93969,36,24,1.06138,0.962322,683,0,1,24,0.627639,4.61111,98,996.083,997,996
28,839,28,6.93864,36,24,1.05524,0.96509,707,0,1,24,0.627854,3.66667,98,996.111,997,996
29,866,29,6.94482,36,24,1.04972,0.967581,731,0,1,24,0.627194,4.38889,98,996.139,997,996
30,893,30,6.94493,36,24,1.04475,0.969823,755,0,1,24,0.621463,4.83333,98,996.167,997,996
31,921,31,6.93585,36,24,1.04027,0.97184,778,0,2,24,0.622532,5.52778,98,996.222,997,996
32,950,32,6.93585,36,24,1.03624,0.973656,802,0,2,24,0.618991,6.52778,98,996.222,997,996
33,977,33,6.91546,36,24,1.03262,0.975291,826,0,2,24,0.617193,6.41667,98,996.306,997,996
34,1005,34,6.92114,36,24,1.02936,0.976762,850,0,2,24,0.616385,6.58333,98,996.361,997,996
35,1033,35,6.94725,36,24,1.02642,0.978085,874,0,2,24,0.614508,6.59459,98,996.351,997,996
36,1061,36,6.95577,36,24,1.02378,0.979277,898,0,2,24,0.611761,5.94595,98,996.351,997,996
37,1089,37,6.94425,36,24,1.0214,0.980349,922,0,2,24,0.609437,4.75676,98,996.351,997,995
38,1117,38,6.96626,36,24,1.01926,0.981314,946,0,2,24,0.603914,3.83784,98,996.27,997,995
39,1146,39,6.95203,36,24,1.01734,0.982183,970,0,2,24,0.600056,4.43243,98,996.351,997,996
40,1176,40,6.96471,36,24,1.0156,0.982965,994,0,2,24,0.597043,5.13514,98,996.324,997,996
41,1204,41,6.96906,36,24,1.01404,0.983668,1018,0,2,24,0.594383,5.56757,98,996.324,997,996
42,1233,42,6.96906,36,24,1.01264,0.984301,1042,0,2,24,0.590508,6.54054,98,996.324,997,996
43,1264,43,6.97285,36,24,1.01137,0.984871,1066,0,2,24,0.588661,6.43243,98,996.297,997,996
44,1293,44,6.97921,36,24,1.01024,0.985384,1090,0,2,24,0.586999,6.59459,98,996.297,997,996
45,1322,45,6.97166,36,24,1.00921,0.985846,1114,0,2,24,0.584981,6.48649,98,996.297,997,996
46,1352,46,7.01203,36,24,1.00829,0.986261,1138,0,2,24,0.584216,5.83784,98,996.324,997,996
47,1381,47,7.05874,36,24,1.00746,0.986635,1162,0,2,24,0.581579,4.91892,98,996.189,997,995
48,1411,48,7.07323,36,24,1.00672,0.986971,1186,0,2,24,0.580919,4.51351,98,996.243,997,995
49,1440,49,7.0799,36,24,1.00604,0.987274,1210,0,2,24,0.577232,4.35135,98,996.243,997,995
50,1468,50,7.07675,36,24,1.00544,0.987547,1234,0,2,24,0.57547,4.89189,98,996.297,997,996
51,1498,51,7.09022,36,24,1.0049,0.987792,1258,0,2,24,0.572004,5.32432,98,996.27,997,996
52,1528,52,7.09022,36,24,1.00441,0.988013,1282,0,2,24,0.569715,6.2973,98,996.27,997,996
53,1558,53,7.11327,36,24,1.00397,0.988212,1306,0,2,24,0.56834,6.18919,98,996.27,997,996
54,1586,54,7.12618,36,24,1.00357,0.988391,1330,0,2,24,0.566347,6.35135,98,996.243,997,996
55,1616,55,7.119,36,24,1.00321,0.988551,1354,0,2,24,0.56516,6.24324,98,996.297,997,996
56,1648,56,7.13526,36,24,1.00289,0.890696,1378,0,2,24,0.561536,5.59459,98,996.162,997,995
57,1674,57,7.09898,36,24,1.0026,0.900627,1402,0,2,24,0.562783,5.67568,98,996.324,997,996
58,1701,58,7.07948,36,24,1.00234,0.909564,1426,0,2,24,0.563587,5.02703,98,996.378,997,996
59,1728,59,7.0346,36,24,1.00211,0.917608,1450,0,2,24,0.563614,4.64865,98,996.459,997,996
60,1753,60,6.97212,36,24,1.0019,0.924847,1472,0,4,24,0.563556,4.81081,98,996.541,997,996
61,1779,61,6.92252,36,24,1.00171,0.931362,1496,0,4,24,0.564111,5.05405,98,996.649,997,996
62,1805,62,6.76611,36,24,1.00154,0.937226,1520,0,4,24,0.56399,4.86486,98,996.865,997,996
63,1831,63,6.63245,36,24,1.00138,0.942503,1544,0,4,24,0.564899,4.05405,98,997,997,997
64,1861,64,6.61268,36,24,1.00124,0.947253,1568,0,4,24,0.564419,4.75676,98,997,997,997
65,1887,65,6.61435,36,24,1.00112,0.951528,1592,0,4,24,0.564469,5.18919,98,997,997,997
66,1914,66,6.61435,36,24,1.00101,0.955375,1616,0,4,24,0.563025,6.16216,98,997,997,997
67,1941,67,6.62532,36,24,1.00091,0.958837,1640,0,4,24,0.563192,6.05405,98,997,997,997
68,1968,68,6.66535,36,24,1.00082,0.961954,1664,0,4,24,0.565224,6.21622,98,997,997,997
69,1995,69,6.67417,36,24,1.00073,0.964758,1688,0,4,24,0.609501,6.37838,98,997,997,997
70,2022,70,6.68495,36,24,1.00066,0.967283,1712,0,4,24,0.484055,6.54054,98,996.973,997,996
71,2048,71,6.70244,36,24,1.0006,0.969554,1736,0,4,24,0.480745,6.13514,98,997,997,997
72,2076,72,6.76966,36,24,1.00054,0.971599,1760,0,4,24,0.472793,4.94595,98,996.838,997,995
73,2104,73,6.77541,36,24,1.00048,0.973439,1783,0,5,24,0.482778,3.97297,98,996.865,997,996
74,2130,74,6.74897,36,24,1.00043,0.975095,1807,0,5,24,0.778856,4.48649,98,997,997,997
75,2157,75,6.76498,36,24,1.00039,0.976586,1830,0,6,24,0.649921,4.91892,98,997,997,997
76,2186,76,6.76498,36,24,1.00035,0.977927,1854,0,6,24,0.538836,5.89189,98,997,997,997
77,2213,77,6.76647,36,24,1.00032,0.979134,1878,0,6,24,0.514705,5.78378,98,997,997,997
78,2240,78,6.74619,36,24,1.0003,0.979134,1902,0,6,24,0.518615,5.94595,98,997,997,997
79,2270,79,6.72924,36,24,1.00027,0.980221,1926,0,6,24,0.492327,6.10811,98,997,997,997
80,2299,80,6.76192,36,24,1.00024,0.981199,1950,0,6,24,0.473252,6.54054,98,996.973,997,996
81,2327,81,6.78348,36,24,1.00022,0.982079,1974,0,6,24,0.472472,5.89189,98,996.919,997,996
82,2357,82,6.77665,36,24,1.0002,0.982871,1997,0,7,24,0.473791,5.78378,98,996.919,997,996
83,2384,83,6.80716,36,24,1.00018,0.983584,2021,0,7,24,0.476161,5.13514,98,996.919,997,996
84,2413,84,6.82521,36,24,1.00016,0.984226,2045,0,7,24,0.463984,4.48649,98,996.784,997,996
85,2441,85,6.82385,36,24,1.00014,0.984803,2069,0,7,24,0.461606,4.89189,98,996.811,997,996
86,2471,86,6.81352,36,24,1.00013,0.985323,2093,0,7,24,0.455247,5.75676,98,996.865,997,996
87,2501,87,6.84699,36,24,1.00012,0.98579,2117,0,7,24,0.458672,5.64865,98,996.838,997,996
88,2528,88,6.86384,36,24,1.0001,0.986211,2141,0,7,24,0.461944,5.56757,98,996.919,997,996
89,2558,89,6.83972,36,24,1.00009,0.98659,2165,0,7,24,0.45745,5.72973,98,996.919,997,996
90,2587,90,6.83427,36,24,1.00008,0.986931,2189,0,7,24,0.455911,6.16216,98,996.919,997,996
91,2615,91,6.90047,36,24,1.00008,0.987238,2213,0,7,24,0.452167,5.51351,98,996.892,997,996
92,2645,92,6.87463,36,24,1.00007,0.889514,2237,0,7,24,0.447678,5.40541,98,996.838,997,996
93,2671,93,6.8817,36,24,1.00006,0.899563,2261,0,7,24,0.453608,4.64865,98,996.919,997,996
94,2700,94,6.84741,36,24,1.00006,0.908607,2285,0,7,24,0.460857,5.08108,98,997,997,997
95,2726,95,6.86663,36,24,1.00005,0.916746,2309,0,7,24,0.46903,5.24324,98,997,997,997
96,2752,96,6.83276,36,24,1.00005,0.916746,2333,0,7,24,0.475656,5.67568,98,997,997,997
97,2778,97,6.83756,36,24,1.00004,0.924071,2357,0,7,24,0.479283,5.83784,98,997,997,997
98,2804,98,6.8285,36,24,1.00004,0.832664,2381,0,7,24,0.482021,5.18919,98,997,997,997
99,2831,99,6.82587,36,24,1.00004,0.848398,2405,0,7,24,0.488085,5.35135,98,997,997,997
100,2857,100,6.83345,36,24,1.00003,0.862558,2429,0,7,24,0.73097,6.05405,98,997,997,997
101,2883,101,6.79557,36,24,1.00003,0.875302,2453,0,7,24,0.701351,6.21622,98,997,997,997
102,2908,102,6.80349,36,24,1.00003,0.886772,2477,0,7,24,0.662741,6.64865,98,997,997,997
103,2935,103,6.79174,36,24,1.00002,0.897095,2501,0,7,24,0.661809,5.18919,98,997,997,997
104,2960,104,6.78631,36,24,1.00002,0.906385,2525,0,7,24,0.649223,5.08108,98,997,997,997
105,2987,105,6.77906,36,24,1.00002,0.906385,2549,0,7,24,0.647248,5.24324,98,997,997,997
106,3013,106,6.77086,36,24,1.00002,0.914747,2572,0,8,24,0.642053,5.67568,98,997,997,997
107,3038,107,6.76087,36,24,1.00002,0.922272,2594,0,10,24,0.645501,5.83784,98,997,997,997
108,3064,108,6.79238,36,24,1.00001,0.929045,2618,0,10,24,0.652604,5.18919,98,997,997,997
109,3090,109,6.81644,36,24,1.00001,0.93514,2642,0,10,24,0.652983,5.35135,98,997,997,997
110,3117,110,6.82698,36,24,1.00001,0.940626,2666,0,10,24,0.658466,6.05405,98,997,997,997
111,3144,111,6.82784,36,24,1.00001,0.945564,2690,0,10,24,0.640111,6.21622,98,997,997,997
112,3171,112,6.84356,36,24,1.00001,0.950007,2714,0,10,24,0.644772,6.64865,98,997,997,997
113,3198,113,6.85006,36,24,1.00001,0.954007,2738,0,10,24,0.639066,5.18919,98,996.946,997,996
114,3224,114,6.832,36,24,1.00001,0.957606,2762,0,10,24,0.628545,5.02703,98,997,997,997
115,3251,115,6.82686,36,24,1.00001,0.960845,2786,0,10,24,0.623965,5.18919,98,997,997,997
116,3280,116,6.82107,36,24,1.00001,0.963761,2810,0,10,24,0.613775,5.62162,98,997,997,997
