GEN,CPU,pop1_Generation,pop1_E,pop1_Mu,pop1_Lambda,pop1_Tau,pop1_Sigma,pop1_EvalCount,pop1_DuplicateCount,pop1_CacheCount,pop1_OpUse_replacementMutation,pop1_MAB_replacementMutation,pop1_AvgAge,pop1_AvgIndSize,pop1_Avg_f0,pop1_Avg_f1,pop1_Best_f0,pop1_Best_f1,pop1_Worst_f0,pop1_Worst_f1
0,0,0,7.60455,36,24,2,0.99,36,0,0,0,0,0,309,0.439121,990.25,0.486364,987,0.390663,989
1,669,1,7.56369,36,24,1.9,0.99,60,0,0,24,0.709078,1,309,0.454545,990.472,0.493213,992,0.436916,992
2,970,2,7.53569,36,24,1.81,0.99,84,0,0,24,0.724689,1.61111,309,0.46343,991.139,0.493213,992,0.445476,993
3,1245,3,7.50288,36,24,1.729,0.99,108,0,0,24,0.70368,2.16667,309,0.469175,991.278,0.493213,992,0.452436,994
4,1525,4,7.48746,36,24,1.6561,0.99,132,0,0,24,0.694359,2.27778,309,0.475572,990.889,0.507761,986,0.462963,991
5,1795,5,7.42867,36,24,1.59049,0.99,156,0,0,24,0.699406,2.47222,309,0.480092,990.611,0.507761,986,0.469626,987
6,2089,6,7.41821,36,24,1.53144,0.99,180,0,0,24,0.692846,2.86111,309,0.483606,990.833,0.507761,986,0.474886,993
7,2361,7,7.37562,36,24,1.4783,0.99,204,0,0,24,0.685128,3.16667,309,0.485925,990.528,0.507761,986,0.480549,987
8,2644,8,7.37293,36,24,1.43047,0.99,228,0,0,24,0.686906,3.44444,309,0.4899,990.5,0.511211,994,0.483146,992
9,2948,9,7.3483,36,24,1.38742,0.99,252,0,0,24,0.679735,3.44444,309,0.492862,990.306,0.512304,994,0.484305,992
10,3213,10,7.39874,36,24,1.34868,0.99,276,0,0,24,0.674476,3.27778,309,0.495005,990.528,0.512304,994,0.486364,987
11,3482,11,7.38775,36,24,1.31381,0.99,300,0,0,24,0.668824,3,309,0.497611,990.806,0.512304,994,0.489933,993
12,3775,12,7.39787,36,24,1.28243,0.99,324,0,0,24,0.666686,2.77778,309,0.501252,991.194,0.513393,994,0.49217,991
13,4045,13,7.3952,36,24,1.25419,0.99,348,0,0,24,0.665954,3.11111,309,0.503884,991.222,0.522124,993,0.496659,992
14,4326,14,7.41099,36,24,1.22877,0.99,372,0,0,24,0.658851,3.41667,309,0.505355,991.361,0.522124,993,0.497748,988
15,4612,15,7.41332,36,24,1.20589,0.99,396,0,0,24,0.645532,3.77778,309,0.506038,991.722,0.522124,993,0.498881,994
16,4887,16,7.40467,36,24,1.1853,0.99,420,0,0,24,0.639947,4.41667,309,0.50756,991.611,0.522124,993,0.5,993
17,5177,17,7.36219,36,24,1.16677,0.99,444,0,0,24,0.63961,4.08333,309,0.510693,991.611,0.522124,993,0.503297,990
18,5477,18,7.35824,36,24,1.15009,0.99,468,0,0,24,0.634841,3.72222,309,0.512275,991.556,0.524017,994,0.504444,993
19,5765,19,7.34384,36,24,1.13509,0.99,492,0,0,24,0.633073,4,309,0.514611,991.222,0.527352,986,0.506667,994
20,6042,20,7.35764,36,24,1.12158,0.99,516,0,0,24,0.628501,4.5,309,0.515776,991.167,0.527352,986,0.509934,986
21,6338,21,7.36706,36,24,1.10942,0.99,540,0,0,24,0.623008,4.55556,309,0.517404,991.389,0.530303,993,0.510917,993
22,6616,22,7.35912,36,24,1.09848,0.99,564,0,0,24,0.618564,4.25,309,0.518712,990.75,0.530303,993,0.511062,990
23,6899,23,7.3576,36,24,1.08863,0.99,588,0,0,24,0.616463,4.19444,309,0.520043,990.667,0.530568,986,0.513158,991
24,7201,24,7.33335,36,24,1.07977,0.99,612,0,0,24,0.613525,4.08333,309,0.52201,990.639,0.530568,986,0.515152,993
25,7481,25,7.34033,36,24,1.07179,0.99,636,0,0,24,0.611877,4.22222,309,0.52341,990.833,0.530702,986,0.516411,992
26,7752,26,7.30785,36,24,1.06461,0.99,660,0,0,24,0.603186,4.33333,309,0.523955,990.306,0.530702,986,0.516704,990
27,8030,27,7.30912,36,24,1.05815,0.99,684,0,0,24,0.597585,4.77778,309,0.524759,990.667,0.530702,986,0.519737,989
28,8307,28,7.30738,36,24,1.05233,0.99,708,0,0,24,0.593905,5.13889,309,0.525651,990.611,0.530702,986,0.520788,991
29,8624,29,7.32896,36,24,1.0471,0.99,732,0,0,24,0.593139,4.88889,309,0.526568,991.167,0.537473,993,0.521739,991
30,8921,30,7.31973,36,24,1.04239,0.99,756,0,0,24,0.588484,5.11111,309,0.526946,991.25,0.537473,993,0.522026,992
31,9198,31,7.34479,36,24,1.03815,0.99,780,0,0,24,0.585574,4.97222,309,0.527925,991.167,0.537473,993,0.522777,993
32,9487,32,7.34652,36,24,1.03434,0.99,804,0,0,24,0.58117,5.13889,309,0.5279,991.167,0.537473,993,0.521064,994
33,9766,33,7.35904,36,24,1.0309,0.99,828,0,0,24,0.57723,5.27778,309,0.528629,991.361,0.537473,993,0.522777,993
34,10041,34,7.37256,36,24,1.02781,0.99,852,0,0,24,0.577945,4.52778,309,0.529713,991.028,0.537473,993,0.523282,988
35,10331,35,7.36806,36,24,1.02503,0.99,876,0,0,24,0.573007,4.83333,309,0.530285,991.306,0.537473,993,0.523913,989
36,10613,36,7.36395,36,24,1.02253,0.99,900,0,0,24,0.570842,4.61111,309,0.531162,991.5,0.538293,992,0.526201,993
37,10910,37,7.35473,36,24,1.02028,0.99,924,0,0,24,0.572912,4.38889,309,0.532902,991.556,0.545455,993,0.527352,993
38,11185,38,7.35224,36,24,1.01825,0.99,947,0,1,24,0.574372,4.08333,309,0.534499,991.806,0.545455,993,0.529412,994
39,11507,39,7.33895,36,24,1.01642,0.99,971,0,1,24,0.572821,4,309,0.534769,991.917,0.545455,993,0.530172,994
40,11790,40,7.31688,36,24,1.01478,0.99,995,0,1,24,0.571609,4.38889,309,0.535986,992,0.546638,994,0.531049,993
41,12105,41,7.31135,36,24,1.0133,0.99,1019,0,1,24,0.567592,4.55556,309,0.53613,992.25,0.546638,994,0.531049,993
42,12388,42,7.28706,36,24,1.01197,0.99,1043,0,1,24,0.564346,5.25,309,0.536855,992.417,0.546638,994,0.531729,993
43,12664,43,7.28236,36,24,1.01078,0.99,1067,0,1,24,0.563066,5.02778,309,0.537832,992.528,0.549894,994,0.532468,986
44,12964,44,7.24612,36,24,1.0097,0.99,1091,0,1,24,0.561371,5.11111,309,0.538629,992.889,0.549894,994,0.532468,993
45,13232,45,7.18559,36,24,1.00873,0.99,1115,0,1,24,0.559979,5.16667,309,0.539616,992.944,0.549894,994,0.532895,992
46,13507,46,7.2061,36,24,1.00786,0.99,1139,0,1,24,0.560339,4.66667,309,0.541387,992.833,0.549894,994,0.53617,993
47,13782,47,7.23039,36,24,1.00707,0.99,1163,0,1,24,0.561405,4.5,309,0.542693,992.75,0.550976,993,0.536638,993
48,14093,48,7.26984,36,24,1.00636,0.99,1187,0,1,24,0.561516,4.16667,309,0.54377,992.75,0.553879,989,0.537281,992
49,14374,49,7.29535,36,24,1.00573,0.99,1211,0,1,24,0.561311,4.33333,309,0.545565,992.806,0.561966,993,0.538462,994
50,14657,50,7.30435,36,24,1.00515,0.99,1235,0,1,24,0.56131,3.66667,309,0.547002,992.778,0.561966,993,0.539957,993
51,14954,51,7.30371,36,24,1.00464,0.99,1259,0,1,24,0.560997,4.11111,309,0.548232,992.722,0.561966,993,0.541578,993
52,15233,52,7.29455,36,24,1.00417,0.99,1283,0,1,24,0.559271,4.36111,309,0.549076,992.583,0.561966,993,0.542553,994
53,15521,53,7.2998,36,24,1.00376,0.99,1307,0,1,24,0.558189,4.63889,309,0.549978,992.583,0.561966,993,0.544276,993
54,15792,54,7.29897,36,24,1.00338,0.99,1331,0,1,24,0.555919,5.05556,309,0.550429,992.417,0.561966,993,0.545652,993
55,16085,55,7.29862,36,24,1.00304,0.99,1355,0,1,24,0.554676,5.16667,309,0.551222,992.278,0.561966,993,0.546638,990
56,16357,56,7.28787,36,24,1.00274,0.99,1379,0,1,24,0.552108,5.08333,309,0.551395,992.222,0.561966,993,0.546638,994
57,16646,57,7.29573,36,24,1.00247,0.99,1403,0,1,24,0.54834,5.25,309,0.551061,992.139,0.561966,993,0.542299,991
58,16929,58,7.28719,36,24,1.00222,0.99,1427,0,1,24,0.547038,5.36111,309,0.551457,992.222,0.561966,993,0.545652,993
59,17207,59,7.28621,36,24,1.002,0.99,1451,0,1,24,0.54318,5.67568,309,0.551103,992.243,0.561966,993,0.543668,993
60,17507,60,7.26568,36,24,1.0018,0.99,1475,0,1,24,0.54196,5.11111,309,0.551394,991.917,0.562105,993,0.545652,993
61,17781,61,7.26064,36,24,1.00162,0.99,1499,0,1,24,0.539667,5.36111,309,0.551733,991.861,0.562105,993,0.546809,990
62,18049,62,7.27729,36,24,1.00146,0.892,1523,0,1,24,0.538136,5.52778,309,0.551376,992,0.562105,993,0.545259,993
63,18356,63,7.18111,36,24,1.00131,0.9018,1547,0,1,24,0.890842,4.52778,309,0.553526,991.861,0.564756,993,0.548387,993
