GEN,CPU,pop1_Generation,pop1_E,pop1_Mu,pop1_Lambda,pop1_Tau,pop1_Sigma,pop1_EvalCount,pop1_DuplicateCount,pop1_CacheCount,pop1_OpUse_replacementMutation,pop1_MAB_replacementMutation,pop1_AvgAge,pop1_AvgIndSize,pop1_Avg_f0,pop1_Best_f0,pop1_Worst_f0
0,0,0,7.30899,36,24,2,0.99,36,0,0,0,0,0,98,992.194,995,987
1,57,1,7.26136,36,24,1.9,0.99,60,0,0,24,0.76142,1,98,993.472,995,992
2,83,2,7.26105,36,24,1.81,0.99,84,0,0,24,0.74809,1.69444,98,994.056,995,993
3,109,3,7.24381,36,24,1.729,0.99,108,0,0,24,0.724654,2.25,98,994.361,995,994
4,135,4,7.24515,36,24,1.6561,0.99,131,0,1,24,0.712646,3.11111,98,994.528,996,994
5,160,5,7.23443,36,24,1.59049,0.99,155,0,1,24,0.67126,3.86111,98,994.611,996,994
6,187,6,7.22779,36,24,1.53144,0.99,179,0,1,24,0.642561,4.52778,98,994.694,996,994
7,212,7,7.21629,36,24,1.4783,0.99,203,0,1,24,0.628958,4.69444,98,994.861,996,994
8,238,8,7.19875,36,24,1.43047,0.99,227,0,1,24,0.622244,4.72222,98,995.028,996,994
9,264,9,7.18132,36,24,1.38742,0.99,251,0,1,24,0.609546,5.27778,98,995.083,996,995
10,291,10,7.18132,36,24,1.34868,0.99,275,0,1,24,0.605875,6.27778,98,995.083,996,995
11,318,11,7.19706,36,24,1.31381,0.99,299,0,1,24,0.60364,5.88889,98,995.139,996,995
