GEN,CPU,pop1_Generation,pop1_E,pop1_Mu,pop1_Lambda,pop1_Tau,pop1_Sigma,pop1_EvalCount,pop1_DuplicateCount,pop1_CacheCount,pop1_OpUse_replacementMutation,pop1_MAB_replacementMutation,pop1_AvgAge,pop1_AvgIndSize,pop1_Avg_f0,pop1_Best_f0,pop1_Worst_f0
0,0,0,7.30899,36,24,2,0.99,36,0,0,0,0,0,98,993.75,997,987
1,73,1,7.2763,36,24,1.95,0.99,60,0,0,24,0.581335,1,98,994.694,997,993
2,105,2,7.27945,36,24,1.855,0.99,84,0,0,24,0.573222,1.75,98,995.083,997,993
3,136,3,7.27513,36,24,1.7695,0.99,108,0,0,24,0.542958,2.66667,98,995.167,997,994
4,166,4,7.27705,36,24,1.69255,0.99,132,0,0,24,0.529858,3.5,98,995.25,997,994
5,197,5,7.28196,36,24,1.62329,0.99,156,0,0,24,0.506969,4.08333,98,995.361,997,994
6,228,6,7.2699,36,24,1.59213,0.892,180,0,0,24,0.490138,4.38889,98,995.5,997,994
7,255,7,7.26297,36,24,1.53292,0.8038,204,0,0,24,0.476664,5.22222,98,995.528,997,995
8,282,8,7.26273,36,24,1.47963,0.82242,227,0,1,24,0.471656,6.19444,98,995.556,997,995
9,309,9,7.26273,36,24,1.43166,0.839178,251,0,1,24,0.457145,7.19444,98,995.556,997,995
10,335,10,7.23986,36,24,1.3885,0.85426,275,0,1,24,0.458795,7.97222,98,995.611,997,995
11,363,11,7.12343,36,24,1.34965,0.867834,299,0,1,24,0.460581,4.43243,98,995.081,997,993
12,390,12,7.0627,36,24,1.33216,0.867834,323,0,1,24,0.727469,4.18919,98,995.351,997,995
13,417,13,6.93645,36,24,1.29895,0.782051,347,0,1,24,0.705378,4.51351,98,995.514,997,995
14,444,14,6.74679,36,24,1.284,0.782051,371,0,1,24,0.677478,4.37838,98,995.703,997,995
15,472,15,6.52203,36,24,1.2556,0.704846,394,0,2,24,0.655975,4.05405,98,995.865,997,995
16,499,16,6.19105,36,24,1.24282,0.704846,417,0,3,24,0.668265,3.81081,98,996.027,997,996
17,525,17,6.19105,36,24,1.23068,0.704846,441,0,3,24,0.678314,4.78378,98,996.027,997,996
18,551,18,6.19436,36,24,1.21915,0.704846,465,0,3,24,0.688031,5.48649,98,996.027,997,996
19,577,19,6.19436,36,24,1.20819,0.704846,489,0,3,24,0.694865,6.45946,98,996.027,997,996
20,604,20,6.21567,36,24,1.19778,0.704846,513,0,3,24,0.693952,6.89189,98,996.027,997,996
21,632,21,6.26011,36,24,1.18789,0.704846,537,0,3,24,0.701959,6.78378,98,996.027,997,996
22,658,22,6.23953,36,24,1.1785,0.704846,560,0,4,24,0.70602,6.67568,98,996.027,997,996
23,684,23,6.29631,36,24,1.16957,0.704846,581,1,6,24,0.709286,6.02703,98,996.027,997,996
24,711,24,6.35234,36,24,1.16109,0.635361,605,1,6,24,0.705034,5.10811,98,996.027,997,996
25,740,25,6.38145,36,24,1.15304,0.635361,628,1,7,24,0.706414,4.45946,98,996.027,997,996
26,770,26,6.40642,36,24,1.14539,0.635361,651,1,8,24,0.702754,3.81081,98,996.027,997,996
27,796,27,6.40642,36,24,1.13812,0.635361,673,1,10,24,0.706858,4.78378,98,996.027,997,996
28,822,28,6.41436,36,24,1.13121,0.635361,695,1,12,24,0.706553,5.48649,98,996.027,997,996
29,853,29,6.41436,36,24,1.12465,0.635361,719,1,12,24,0.704706,6.45946,98,996.027,997,996
30,879,30,6.41092,36,24,1.11842,0.635361,743,1,12,24,0.708374,6.89189,98,996.027,997,996
31,905,31,6.32986,36,24,1.1125,0.635361,766,1,13,24,0.70731,6.78378,98,996.027,997,996
32,931,32,6.39581,36,24,1.10687,0.635361,789,1,14,24,0.706057,6.67568,98,996.027,997,996
33,959,33,6.44695,36,24,1.10153,0.635361,813,1,14,24,0.708694,6.02703,98,996.027,997,996
