GEN,CPU,pop1_Generation,pop1_E,pop1_Mu,pop1_Lambda,pop1_Tau,pop1_Sigma,pop1_EvalCount,pop1_DuplicateCount,pop1_CacheCount,pop1_OpUse_replacementMutation,pop1_MAB_replacementMutation,pop1_AvgAge,pop1_AvgIndSize,pop1_Avg_f0,pop1_Avg_f1,pop1_Best_f0,pop1_Best_f1,pop1_Worst_f0,pop1_Worst_f1
0,0,0,7.60455,36,24,2,0.99,36,0,0,0,0,0,309,0.439121,990.25,0.486364,987,0.390663,989
1,626,1,7.56369,36,24,1.9,0.99,60,0,0,24,0.709078,1,309,0.454545,990.472,0.493213,992,0.436916,992
2,884,2,7.53569,36,24,1.81,0.99,84,0,0,24,0.724689,1.61111,309,0.46343,991.111,0.493213,992,0.445476,993
3,1158,3,7.50288,36,24,1.729,0.99,108,0,0,24,0.70368,2.16667,309,0.469175,991.25,0.493213,992,0.452436,994
4,1409,4,7.48746,36,24,1.6561,0.99,132,0,0,24,0.694359,2.27778,309,0.475572,990.889,0.507761,986,0.462963,991
5,1699,5,7.42867,36,24,1.59049,0.99,156,0,0,24,0.699406,2.47222,309,0.480092,990.611,0.507761,986,0.469626,987
6,1960,6,7.41821,36,24,1.53144,0.99,180,0,0,24,0.692846,2.86111,309,0.483606,990.833,0.507761,986,0.474886,993
7,2224,7,7.37562,36,24,1.4783,0.99,204,0,0,24,0.685128,3.16667,309,0.485925,990.528,0.507761,986,0.480549,987
8,2496,8,7.37293,36,24,1.43047,0.99,228,0,0,24,0.686906,3.44444,309,0.4899,990.5,0.511211,994,0.483146,992
9,2764,9,7.3483,36,24,1.38742,0.99,252,0,0,24,0.679735,3.44444,309,0.492862,990.306,0.512304,994,0.484305,992
10,3039,10,7.39874,36,24,1.34868,0.99,276,0,0,24,0.674476,3.27778,309,0.495005,990.528,0.512304,994,0.486364,987
11,3302,11,7.38775,36,24,1.31381,0.99,300,0,0,24,0.668824,3,309,0.497611,990.778,0.512304,994,0.489933,993
12,3586,12,7.39787,36,24,1.28243,0.99,324,0,0,24,0.666686,2.77778,309,0.501252,991.167,0.513393,994,0.49217,991
13,3861,13,7.3952,36,24,1.25419,0.99,348,0,0,24,0.665954,3.11111,309,0.503884,991.194,0.522124,993,0.496659,992
14,4133,14,7.41099,36,24,1.22877,0.99,372,0,0,24,0.658851,3.41667,309,0.505355,991.333,0.522124,993,0.497748,988
15,4405,15,7.41332,36,24,1.20589,0.99,396,0,0,24,0.645532,3.77778,309,0.506038,991.694,0.522124,993,0.498881,994
16,4668,16,7.40467,36,24,1.1853,0.99,420,0,0,24,0.639947,4.41667,309,0.50756,991.583,0.522124,993,0.5,993
17,4950,17,7.36219,36,24,1.16677,0.99,444,0,0,24,0.63961,4.08333,309,0.510693,991.611,0.522124,993,0.503297,990
18,5238,18,7.35824,36,24,1.15009,0.99,468,0,0,24,0.634841,3.72222,309,0.512275,991.556,0.524017,994,0.504444,993
19,5529,19,7.34384,36,24,1.13509,0.99,492,0,0,24,0.633073,4,309,0.514611,991.222,0.527352,986,0.506667,994
20,5821,20,7.35764,36,24,1.12158,0.99,516,0,0,24,0.628501,4.5,309,0.515776,991.167,0.527352,986,0.509934,986
21,6117,21,7.36706,36,24,1.10942,0.99,540,0,0,24,0.623008,4.55556,309,0.517404,991.389,0.530303,993,0.510917,993
22,6400,22,7.35912,36,24,1.09848,0.99,564,0,0,24,0.618564,4.25,309,0.518712,990.75,0.530303,993,0.511062,990
23,6679,23,7.3576,36,24,1.08863,0.99,588,0,0,24,0.616463,4.19444,309,0.520043,990.667,0.530568,986,0.513158,991
24,6957,24,7.33335,36,24,1.07977,0.99,612,0,0,24,0.613525,4.08333,309,0.52201,990.639,0.530568,986,0.515152,993
25,7223,25,7.34033,36,24,1.07179,0.99,636,0,0,24,0.611877,4.22222,309,0.52341,990.833,0.530702,986,0.516411,992
26,7487,26,7.30785,36,24,1.06461,0.99,660,0,0,24,0.603186,4.33333,309,0.523955,990.306,0.530702,986,0.516704,990
27,7762,27,7.30912,36,24,1.05815,0.99,684,0,0,24,0.597585,4.77778,309,0.524759,990.667,0.530702,986,0.519737,989
28,8030,28,7.30738,36,24,1.05233,0.99,708,0,0,24,0.593905,5.13889,309,0.525651,990.611,0.530702,986,0.520788,991
29,8304,29,7.32896,36,24,1.0471,0.99,732,0,0,24,0.593139,4.88889,309,0.526568,991.167,0.537473,993,0.521739,991
30,8570,30,7.31973,36,24,1.04239,0.99,756,0,0,24,0.588484,5.11111,309,0.526946,991.25,0.537473,993,0.522026,992
31,8843,31,7.34479,36,24,1.03815,0.99,780,0,0,24,0.585574,4.97222,309,0.527925,991.167,0.537473,993,0.522777,993
32,9137,32,7.34652,36,24,1.03434,0.99,804,0,0,24,0.58117,5.13889,309,0.5279,991.167,0.537473,993,0.521064,994
33,9404,33,7.35904,36,24,1.0309,0.99,828,0,0,24,0.57723,5.27778,309,0.528629,991.361,0.537473,993,0.522777,993
34,9678,34,7.37256,36,24,1.02781,0.99,852,0,0,24,0.577945,4.52778,309,0.529713,991.028,0.537473,993,0.523282,988
35,9958,35,7.36806,36,24,1.02503,0.99,876,0,0,24,0.573007,4.83333,309,0.530285,991.306,0.537473,993,0.523913,989
36,10231,36,7.36395,36,24,1.02253,0.99,900,0,0,24,0.570842,4.61111,309,0.531162,991.5,0.538293,992,0.526201,993
37,10498,37,7.35473,36,24,1.02028,0.99,924,0,0,24,0.572912,4.38889,309,0.532902,991.556,0.545455,993,0.527352,993
38,10763,38,7.35224,36,24,1.01825,0.99,947,0,1,24,0.574372,4.08333,309,0.534499,991.806,0.545455,993,0.529412,994
39,11039,39,7.33895,36,24,1.01642,0.99,971,0,1,24,0.572821,4,309,0.534769,991.917,0.545455,993,0.530172,994
