GEN,CPU,pop1_Generation,pop1_E,pop1_Mu,pop1_Lambda,pop1_Tau,pop1_Sigma,pop1_EvalCount,pop1_DuplicateCount,pop1_CacheCount,pop1_OpUse_replacementMutation,pop1_MAB_replacementMutation,pop1_AvgAge,pop1_AvgIndSize,pop1_Avg_f0,pop1_Best_f0,pop1_Worst_f0
0,0,0,7.85542,36,24,2,0.99,36,0,0,0,0,0,660,0.259785,0.286282,0.235263
1,455,1,7.81109,36,24,1.95,0.99,60,0,0,24,0.755119,1,660,0.268445,0.286282,0.260332
2,640,2,7.77865,36,24,1.855,0.99,84,0,0,24,0.776245,1.61111,660,0.272464,0.286282,0.26631
3,820,3,7.73605,36,24,1.7695,0.99,108,0,0,24,0.750219,2.05556,660,0.274989,0.286282,0.268952
4,999,4,7.71073,36,24,1.69255,0.99,132,0,0,24,0.729055,2.30556,660,0.277303,0.286282,0.271
5,1186,5,7.59702,36,24,1.62329,0.99,156,0,0,24,0.725478,2.5,660,0.280505,0.291374,0.275455
6,1376,6,7.50311,36,24,1.56097,0.99,180,0,0,24,0.718859,2.55556,660,0.282388,0.291374,0.278906
7,1564,7,7.46532,36,24,1.50487,0.99,204,0,0,24,0.721793,3.08333,660,0.283696,0.291867,0.280596
8,1749,8,7.4677,36,24,1.45438,0.99,228,0,0,24,0.705744,2.88889,660,0.285199,0.293721,0.282022
9,1936,9,7.4953,36,24,1.40894,0.99,252,0,0,24,0.687525,2.88889,660,0.28611,0.293721,0.282772
10,2124,10,7.46765,36,24,1.36805,0.99,276,0,0,24,0.686101,3.19444,660,0.287259,0.293721,0.28438
11,2308,11,7.47511,36,24,1.33124,0.99,300,0,0,24,0.688478,3.08333,660,0.288511,0.295028,0.285483
12,2499,12,7.44625,36,24,1.29812,0.99,324,0,0,24,0.67943,3.52778,660,0.289337,0.295028,0.286282
13,2685,13,7.4535,36,24,1.26831,0.99,348,0,0,24,0.671563,3.36111,660,0.290218,0.297515,0.287078
14,2879,14,7.44324,36,24,1.24148,0.99,372,0,0,24,0.666315,3.63889,660,0.291019,0.297515,0.287749
15,3073,15,7.46515,36,24,1.21733,0.99,396,0,0,24,0.66284,3.44444,660,0.291697,0.297515,0.288839
16,3258,16,7.47402,36,24,1.1956,0.99,420,0,0,24,0.662807,3.58333,660,0.29278,0.299379,0.290247
17,3443,17,7.49893,36,24,1.17604,0.99,444,0,0,24,0.660986,3.77778,660,0.293581,0.300668,0.291005
18,3630,18,7.50716,36,24,1.15843,0.99,468,0,0,24,0.655519,3.22222,660,0.294532,0.300668,0.291528
19,3818,19,7.50163,36,24,1.14259,0.99,492,0,0,24,0.654453,3.19444,660,0.295351,0.300668,0.292145
20,4010,20,7.51299,36,24,1.12833,0.99,516,0,0,24,0.649545,3.61111,660,0.295916,0.300668,0.29323
21,4196,21,7.49928,36,24,1.1155,0.99,540,0,0,24,0.650197,3.41667,660,0.296985,0.305736,0.294371
22,4388,22,7.47811,36,24,1.10395,0.99,564,0,0,24,0.648707,3.38889,660,0.297833,0.305736,0.295602
23,4579,23,7.46707,36,24,1.09355,0.99,588,0,0,24,0.644589,3.52778,660,0.298269,0.305736,0.295888
24,4764,24,7.43278,36,24,1.0842,0.99,612,0,0,24,0.641525,3.77778,660,0.298992,0.305736,0.29703
25,4949,25,7.40347,36,24,1.07578,0.99,636,0,0,24,0.63631,3.83333,660,0.299521,0.305736,0.297719
26,5139,26,7.39803,36,24,1.0682,0.99,660,0,0,24,0.633746,4.11111,660,0.299784,0.305736,0.297963
27,5325,27,7.41329,36,24,1.06138,0.99,684,0,0,24,0.630143,4.58333,660,0.300024,0.305736,0.298124
28,5514,28,7.40384,36,24,1.05524,0.99,708,0,0,24,0.62901,3.91667,660,0.300705,0.305736,0.298406
29,5701,29,7.37398,36,24,1.04972,0.99,732,0,0,24,0.624348,3.77778,660,0.3011,0.305736,0.298611
30,5894,30,7.34396,36,24,1.04475,0.99,756,0,0,24,0.624662,3.75,660,0.301822,0.307119,0.299295
