GEN,CPU,pop1_Generation,pop1_E,pop1_Mu,pop1_Lambda,pop1_Tau,pop1_Sigma,pop1_EvalCount,pop1_DuplicateCount,pop1_CacheCount,pop1_OpUse_replacementMutation,pop1_MAB_replacementMutation,pop1_AvgAge,pop1_AvgIndSize,pop1_Avg_f0,pop1_Avg_f1,pop1_Best_f0,pop1_Best_f1,pop1_Worst_f0,pop1_Worst_f1
116,7469,116,6.68647,20,16,1.00001,0.807406,1882,0,14,16,0.585766,3.55,297,1,0.621501,1,0.62578,1,0.620042
117,7526,117,6.68398,20,16,1.00001,0.825665,1898,0,14,16,0.585017,3.95,297,1,0.621973,1,0.62578,1,0.620545
118,7584,118,6.72378,20,16,1.00001,0.842099,1914,0,14,16,0.585903,3.45,297,1,0.622664,1,0.627049,1,0.621339
119,7643,119,6.73469,20,16,1.00001,0.856889,1930,0,14,16,0.585893,3.8,297,1,0.623196,1,0.630612,1,0.621339
120,7700,120,6.71891,20,16,1,0.8702,1946,0,14,16,0.586586,3.55,297,1,0.62422,1,0.630612,1,0.622129
121,7758,121,6.68802,20,16,1,0.88218,1961,0,15,16,0.587223,3.55,297,1,0.625091,1,0.630612,1,0.622129
122,7816,122,6.65393,20,16,1,0.892962,1977,0,15,16,0.586592,3.3,297,1,0.625803,1,0.630612,1,0.623431
123,7874,123,6.61998,20,16,1,0.902666,1992,0,16,16,0.587052,3.7,297,1,0.62643,1,0.630612,1,0.62423
124,7931,124,6.5404,20,16,1,0.911399,2008,0,16,16,0.588023,3,297,1,0.627388,1,0.630612,1,0.625
125,7989,125,6.49035,20,16,1,0.919259,2024,0,16,16,0.588428,3.5,297,1,0.628288,1,0.632114,1,0.626283
126,8050,126,6.49859,20,16,1,0.926333,2039,0,17,16,0.586512,3.75,297,1,0.628997,1,0.632114,1,0.627049
127,8109,127,6.4948,20,16,1,0.9327,2055,0,17,16,0.586883,4.5,297,1,0.62945,1,0.632114,1,0.627049
128,8167,128,6.49685,20,16,1,0.93843,2071,0,17,16,0.586985,3.75,297,1,0.630071,1,0.633401,1,0.627812
129,8226,129,6.51306,20,16,1,0.943587,2087,0,17,16,0.58669,3.8,297,1,0.63059,1,0.634888,1,0.628571
130,8285,130,6.53829,20,16,1,0.948228,2103,0,17,16,0.585856,3.9,297,1,0.631037,1,0.634888,1,0.628571
131,8346,131,6.53405,20,16,1,0.952405,2119,0,17,16,0.586329,4.05,297,1,0.632325,1,0.637097,1,0.629857
132,8406,132,6.53144,20,16,1,0.956165,2135,0,17,16,0.586317,4.15,297,1,0.632726,1,0.637097,1,0.630612
133,8467,133,6.53324,20,16,1,0.959548,2151,0,17,16,0.585139,4.5,297,1,0.63279,1,0.637097,1,0.631148
134,8526,134,6.53835,20,16,1,0.962594,2167,0,17,16,0.585151,5.15,297,1,0.633409,1,0.637097,1,0.631579
135,8590,135,6.55265,20,16,1,0.867334,2183,0,17,16,0.583238,5.15,297,1,0.633169,1,0.637097,1,0.628803
136,8648,136,6.55323,20,16,1,0.879601,2198,0,18,16,0.582903,4.4,297,1,0.634152,1,0.637097,1,0.631579
