GEN,CPU,pop1_Generation,pop1_E,pop1_Mu,pop1_Lambda,pop1_Tau,pop1_Sigma,pop1_EvalCount,pop1_DuplicateCount,pop1_CacheCount,pop1_OpUse_replacementMutation,pop1_MAB_replacementMutation,pop1_AvgAge,pop1_AvgIndSize,pop1_Avg_f0,pop1_Avg_f1,pop1_Best_f0,pop1_Best_f1,pop1_Worst_f0,pop1_Worst_f1
39,2795,39,6.75663,20,16,1.01734,0.982965,662,0,2,16,0.621439,5.15,297,1,0.563445,1,0.568584,1,0.560811
40,2861,40,6.7315,20,16,1.0156,0.983668,678,0,2,16,0.609597,5.75,297,1,0.563454,1,0.568584,1,0.560976
41,2924,41,6.77608,20,16,1.01404,0.886301,694,0,2,16,0.600436,5.75,297,1,0.563195,1,0.568584,1,0.560268
42,2982,42,6.80209,20,16,1.01264,0.896671,709,0,3,16,0.596773,5.4,297,1,0.564339,1,0.568584,1,0.561521
43,3039,43,6.83015,20,16,1.01137,0.906004,725,0,3,16,0.599745,3.1,297,1,0.564694,1,0.568584,1,0.562222
44,3096,44,6.79107,20,16,1.01024,0.914404,741,0,3,16,0.601699,3.05,297,1,0.565422,1,0.569536,1,0.563193
45,3153,45,6.73129,20,16,1.00921,0.921963,756,0,4,16,0.601266,3.1,297,1,0.566291,1,0.574561,1,0.564732
46,3209,46,6.76211,20,16,1.00829,0.928767,771,0,5,16,0.601073,3.2,297,1,0.567426,1,0.574561,1,0.565022
47,3266,47,6.77611,20,16,1.00746,0.93489,787,0,5,16,0.606355,3.25,297,1,0.569288,1,0.579176,1,0.565702
48,3324,48,6.79467,20,16,1.00672,0.940401,803,0,5,16,0.605607,2.55,297,1,0.570342,1,0.579176,1,0.567033
49,3382,49,6.80985,20,16,1.00604,0.945361,819,0,5,16,0.608883,2.5,297,1,0.57248,1,0.579176,1,0.568233
50,3440,50,6.85999,20,16,1.00544,0.949825,835,0,5,16,0.610616,2.45,297,1,0.574118,1,0.582969,1,0.570485
51,3498,51,6.85675,20,16,1.0049,0.953843,851,0,5,16,0.607235,3.15,297,1,0.574685,1,0.582969,1,0.571116
52,3555,52,6.85998,20,16,1.00441,0.957458,867,0,5,16,0.605477,3.35,297,1,0.575735,1,0.582969,1,0.573009
53,3614,53,6.84789,20,16,1.00397,0.960712,883,0,5,16,0.604224,3.95,297,1,0.576406,1,0.582969,1,0.573009
54,3670,54,6.82997,20,16,1.00357,0.963641,899,0,5,16,0.603779,4,297,1,0.577218,1,0.582969,1,0.573661
55,3728,55,6.83255,20,16,1.00321,0.966277,915,0,5,16,0.601751,4.4,297,1,0.577793,1,0.582969,1,0.574561
56,3789,56,6.83255,20,16,1.00289,0.870649,931,0,5,16,0.594246,5.4,297,1,0.577793,1,0.582969,1,0.574561
57,3847,57,6.78795,20,16,1.0026,0.882584,947,0,5,16,0.592541,3.8,297,1,0.578447,1,0.582969,1,0.575163
